"Meslek","Şehir","Nitelikler"
"Servis Yönetimi Ekip Lideri (Msp/Mssp/Itsm)","İstanbul","Danışmanlığını yürütmekte olduğumuz, Bilgi Teknolojileri ve Siber Güvenlik alanlarında faaliyet gösteren firmamız için aşağıdaki nitelik ve yetkinliklere sahip Servis Yönetimi Ekip Lideri (MSP/MSSP/ITSM), arayışımız bulunmaktadır.      GENEL NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Bilimleri, Yönetim Bilişim Sistemleri, Elektrik Elektronik Mühendisliği ve benzeri Lisans bölümlerinden mezun, Bilgi Teknolojileri Hizmet Yönetimi/ITSM ve ITIL konusunda bilgili ve tecrübeli. Tercihen ITIL ve/veya COBIT sertifikalarına sahip, Bilgi Teknolojileri ve Siber Güvenlik çözümleri üzerine Üretici, Operasyon Merkezi veya Sistem Entegratörü faaliyetlerini yürüten firmalarda, Teknik Destek ve/veya Hizmet Yönetimi alanında en az 3 yıl sektör tecrübesi sahibi, Sistem ve Network Güvenliği Yönetimi konusunda bilgi ve tecrübe sahibi, Fortinet, Fortigate veya benzer NGFW ve güvenlik çözümleri konusunda bilgi sahibi. Tercihen NSE 4 ve üzeri sertifikalara sahip, Tercihen Microsoft Exchange/Office 365/Microsoft 365 projeleri ile Veri Merkezi ve Bulut Hizmetleri konusunda bilgi ve tecrübe sahibi, Bilgi Teknolojileri Proje Takibi, Koordinasyonu veya Yönetimi konularında bilgili ve tecrübeli, Analitik düşünce ve problem çözme yetkinlikleri ile sonuç odaklı çalışabilen, Ekip çalışmasına yatkın, kişisel gelişimine önem veren ve yeni teknolojileri yakından takip edebilen, Erkek adaylar için askerlik ile ilişiği bulunmayan, İyi derecede İngilizce bilen, B Sınıfı ehliyet sahibi ve seyahat engeli bulunmayan. "
"Yazılım Geliştirme Uzmanı"," ","İleri seviyede C#, Asp.Net, Asp.Net Core, Asp.Net Core Web Api, JavaScript, Ajax, MVC tecrübeye sahip, Şirket için geliştirmekte olduğumuz projemizde React ve Mobx kullanabilecek bilgiye sahip, tecihen Kendo UI ile geliştirme yapmış. T-SQL ve MS-SQL yönetimi hakkında tecrübeli, Entity Framework, katmanlı mimari hakkında tecrübeli, Tecihen Wordpress, hosting ve iis yönetimi hakkında bilgi sahibi, Temel seviyede network hakkında bilgisine sahip,  Tercihen Call Center (ACD/IVR/CTI/Dialer) tecrübesine sahip, Literatürü takip edebilecek seviyede ingilizce bilgisine sahip, En az 2 yıl yazılım geliştirme tecrübesi olan, İletişimi kuvvetli,özgüveni ve çalışma disiplini yüksek,sorumluluk alabilen ve sonuç odaklı, İş kalitesini ön planda tutarak hedef odaklı çalışabilen,  Esnek çalışma saatlerine uygun,       İŞ TANIMI  Net Call Center yönetim,idari birimlerinin ve operasyonların yürüttükleri hizmet süreçlerinde gereksinim duyulan bilgisayar programlarının,  yazılımların ve otomasyon çözümlerini projelendirmek yoluyla bilişim desteği sunmak görev kapsamındadır. "
"Yazılım Destek Uzmanı"," ","1992'den bu yana, bilinen markaların, saha satış verilerine oluştuğu anda ulaşmalarını, Satış, Lojistik ve Servis süreçlerini yönetmelerini sağlayan teknolojik çözümler sunan firmamızın, Yazılım Destek ekibinde görev almak üzere YAZILIM DESTEK UZMANI aramaktayız.   Bilgisayar / Yazılım / Endüstri Mühendisliği, Bilgisayar Teknolojileri Öğretmenliği, Matematik, İstatistik, Bilgisayar Programcılığı veya ilgili teknik bölümlerden mezun Yazılım ve yazılım destek alanında en az 1 yıl deneyimli MS Sql Veritabanına hakim, işletim sistemi ve Muhasebe yazılımları bilgisi olan Tercihen İngilizce bilen Müşteri memnuniyetine önem veren, dinamik ve çözüm odaklı çalışan İletişim becerileri gelişmiş Yurtiçi seyahat engeli olmayan Erkek adaylar için askerliğini yapmış olan ya da askerliği en az 2 yıl tecilli olan    İŞ TANIMI  Müşterilerimizin kullandığı yazılımlarımızda  Müşteri ve rut tanımlama Saha Elemanı tanımlama Ürün Tanımlama "
"Rusça Bilen Yazılım Destek Uzmanı"," ","  Bilgisayar / Yazılım / Endüstri Mühendisliği, Bilgisayar Teknolojileri Öğretmenliği, Matematik, İstatistik, Bilgisayar Programcılığı veya ilgili teknik bölümlerden mezun Yazılım ve yazılım destek alanında en az 1 yıl deneyimli MS Sql Veritabanına hakim, işletim sistemi ve Muhasebe yazılımları bilgisi olan İyi derecede Rusça bilen Tercihen İngilizce bilgisi olan Müşteri memnuniyetine önem veren, dinamik ve çözüm odaklı çalışan İletişim becerileri gelişmiş Yurtiçi ve Yurtdışı seyahat engeli olmayan Erkek adaylar için askerliğini yapmış ya da askerliği en az 2 yıl tecilli olan    İŞ TANIMI Özellikle Rusya ve Türki Cumhuriyetler pazarında faaliyet gösteren müşterilerimizin kullandığı yazılımlarımızda Müşteri ve rut tanımlama Saha Elemanı tanımlama Ürün Tanımlama Sabit ve Dinamik Raporlar altındaki raporlar ile raporlama yapılması Sahada çalışan müşterilerimize yazılımımız ile ilgili destek verilmesi  "
"Aviyonik Yazılım Doğrulama Mühendisi"," ","GENEL NİTELİKLER        Üniversitelerin Elektronik Mühendisliği / Bilgisayar Mühendisliği bölümlerinden mezun olmak,       İyi derecede C/C++ bilmek,       Bilgisayar Destekli Yazılım Mühendisliği gereçleri ile ilgili bilgi ve deneyim sahibi olmak,       Yazılım Doğrulama süreçleri konusunda bilgi ve deneyim sahibi olmak,       İyi derecede İngilizce bilmek       Şahıs Güvenlik Belgesi almaya engeli olmamak,       Erkek adaylar için askerlik görevini tamamlamış ya da uzun süre erteletmiş olmak.  TERCİH NEDENİ OLABİLECEK NİTELİKLER        DO-178B/C konusunda bilgi ve deneyim sahibi olmak,       Gerçek zamanlı işletim sistemleri ve gömülü yazılım alanında deneyim sahibi olmak,             MIL-STD-1553, ARINC 429 ve benzeri aviyonik veri yolu protokolleri hakkında bilgi ve deneyim sahibi olmak.  İŞ TANIMI  Aviyonik yazılımların doğrulanması amacıyla; Yazılım gereksinimlerinin gözden geçirilmesi, "
"Aviyonik Yazılım Geliştirme Mühendisi"," ","GENEL NİTELİKLER        Üniversitelerin Elektronik Mühendisliği / Bilgisayar Mühendisliği bölümlerinden mezun olmak,       İyi derecede C/C++ bilmek,       Bilgisayar Destekli Yazılım Mühendisliği gereçleri ile ilgili bilgi ve deneyim sahibi olmak,       Yazılım Geliştirme süreçleri konusunda bilgi sahibi olmak,       İyi derecede İngilizce bilmek       Şahıs Güvenlik Belgesi almaya engeli olmamak       Erkek adaylar için askerlik görevini tamamlamış ya da uzun süre erteletmiş olmak.  TERCİH NEDENİ OLABİLECEK NİTELİKLER        DO-178B/C konusunda bilgi ve deneyim sahibi olmak,       Gerçek zamanlı işletim sistemleri ile gömülü yazılım alanında deneyim sahibi olmak,       MIL-STD-1553, ARINC 429 ve benzeri aviyonik veri yolu protokolleri hakkında bilgi ve deneyim sahibi olmak,      Coğrafi Bilgi Sistemleri uygulamaları hakkında bilgi sahibi olmak,      OpenGL ile yazılım geliştirmiş olmak.  İŞ TANIMI   "
"Sızma Testi Uzmanı","Ankara","Sızma Testi Uzmanı    Üniversitelerin Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği, Bilişim Sistemleri vb. bölümlerinden mezun olmak,  Siber Güvenlik alanında en az 1 yıl tecrübe sahibi,  Kuruluşların Siber Güvenlik seviyelerindeki uyumu tespit etmek üzere denetimlerde bulunmuş, Siber Güvenliğin yönetimsel, fiziksel ve teknik perspektiflerine hâkim,  Güvenlik teknolojilerinin seçimi, uygulanması ve yönetimi hakkında deneyim sahibi,  Tercihen TSE Sızma Testi Sertifikası, CEH, OSCP, GPEN, LPT gibi sertfikalardan en az birine sahip olan veya muhadili olan başka bir sertifikaya sahip olan, Proaktif,  Siber Güvenlik gereksinimlerinin tespitinde tecrübe sahibi,  Microsoft Windows sunucu ürünleri/servisleri (Aktif dizin, DHCP, DNS, Exchange, vs)hakkında tecrübe sahibi olan,  Kali, Metasploit, Nmap, Nessus, Burp Suite, sqlmap vb. güvenlik araçlarında deneyim sahibi olan,  Literatürü takip edebilecek düzeyde İngilizce dil bilgisine sahip olan,  Web ve mobil uygulama sızma testlerinin gerçekleşmesinde rol almak,  Elde edilen test bulgularının değerlendirmesini ve raporlamasını yapmak,  Yeni güvenlik çözümlerini araştırmak ve uygulamaya alınmasını sağlamak,  İletişim becerisi yüksek,  Planlama ve koordinasyon becerileri gelişmiş,  Ekip çalışmasına yatkın ve sonuç odaklı çalışabilen,  Seyahat engeli olmayan,  "
"ERP(Nebim)Sorumlusu","Ankara","1982 yılından bu yana yurt içinde 300’e yakın satış noktası, yurt dışında ise 25 ülkede 60’a yakın satış noktası ile tekstil sektöründe Türkiye’yi temsil etmeye devam eden KAYRA her geçen gün büyümeye devam ediyor. KAYRA, Türkiye’nin en hızlı büyüyen 22. şirketi olarak ""Türkiye 100"" ödülünü alan, sosyal medyada 5 milyonun üzerinde takipçi sayısı ile tüm sektörler içerisinde 2. Sırada bulunan ve moda sektöründe en çok takipçisi olan 1. markadır. Modanın kalbinde bulunmak isteyen yeteneklerle çalışmak ve birlikte büyümeye devam etmek istiyoruz.  ‘’KAYRA ‘ DA KARİYER ‘’ yapmak isterseniz sizinle tanışmaktan mutluluk duyarız.   Aşağıda yer alan genel nitelik ve iş tanımına uygun ERP (Nebim) Sorumlusu aramaktayız     GENEL NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği, Endüstri Mühendisliği veya ilgili bölümlerinden mezun Nebim V3 ve Üretim Programlarına hakim İyi düzeyde SQL bilgisine sahip Mağazada kullanılan POS cihazlarına hakim İletişimi kuvvetli, pozitif, güler yüzlü, Ekip çalışmasına yatkın, yenilikçi ve çözüm odaklı, Düzenli ve planlı çalışan Yoğun iş temposuna ve esnek çalışma saatlerine uyum gösterebilecek, "
"AR Yazılım Mühendisi"," ","BİTES HAKKINDA     2001 yılında kurulan ve 2019 yılından itibaren ASELSAN iştiraki olan BİTES Savunma ve Havacılık, 200'ü aşkın uzman kadrosu ile milli ve yüksek teknoloji odaklı bir savunma sanayi şirketi olarak ülkemize hizmet etmektedir.  BİTES, artırılmış gerçeklik, yapay zeka, derin öğrenme, görüntü ve sinyal işleme gibi teknoloji alanlarında yurtiçi ve yurtdışı ar-ge çalışmaları yürütmektedir. BİTES, çalışmalarını Ankara Eskişehir Yolu üzerindeki ODTÜ Bilişim ve İnovasyon Merkezi’nde sürdürmektedir. Ayrıca eğitim ve simülasyon teknolojileri, komuta kontrol ve bilgi sistemleri faaliyet alanında askeri sistemler için çözümler sağlamaktadır.   İnovatif fikirlere değer verilen ve sürekli gelişime açık yapıya sahip olan şirketimizde;   Savunma Projeleri kapsamında görevlendirmek üzere “AR Yazılım Mühendisi” çalışma arkadaşları aramaktayız.      NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği veya ilgili bölümlerinden mezun, En az 3 yıl yazılım geliştirme konusunda deneyimli, C# programlama dilinde deneyimli, "
".Net Developer","İstanbul","Genel Özellikler   Kurumsal uygulamalar geliştirme konusunda 3 yıl deneyimli ve referans olarak en az 2 proje gösterebilecek,  Proje ihtiyaçlarına uygun yazılım mimarisini oluşturabilecek ve sorumluluk üstlenebilecek,  Projedeki modüllerin geliştirmesi ya da sorunların çözümü ile ilgili olarak gerçekçi süreler belirleyebilecek ve  bunlara uyabilecek, Analitik yönü güçlü,  Detay odaklı çalışabilen,  Çalışan uygulamaların sürekliliğini ve desteğini sağlayacak,  Teknik literatürü takip edebilecek seviyede İngilizce bilgisi olan,     Teknik Nitelikler  .NET Teknolojilerinde  3-4 yıl deneyim. ( C# , .NET Framework , .NET Core  )  MS SQL Server ve  veritabanı tasarımı konusunda tecrübe sahibi  HTML5, CSS (+Bootstrap) ve Javascript konularında bilgi sahibi  RestFul Web Servisler geliştirme konusunda tecrübeli (WebApi)   "
"Yazılım Mühendisi"," ","BİTES HAKKINDA   2001 yılında kurulan ve 2019 yılından itibaren ASELSAN iştiraki olan BİTES Savunma ve Havacılık, 200'ü aşkın uzman kadrosu ile milli ve yüksek teknoloji odaklı bir savunma sanayi şirketi olarak ülkemize hizmet etmektedir.   BİTES, artırılmış gerçeklik, yapay zeka, derin öğrenme, görüntü ve sinyal işleme gibi teknoloji alanlarında yurtiçi ve yurtdışı ar-ge çalışmaları yürütmektedir.   BİTES, çalışmalarını Ankara Eskişehir Yolu üzerindeki ODTÜ Bilişim ve İnovasyon Merkezi’nde sürdürmektedir. Ayrıca eğitim ve simülasyon teknolojileri, komuta kontrol ve bilgi sistemleri faaliyet alanında askeri sistemler için çözümler sağlamaktadır.   İnovatif fikirlere değer verilen ve sürekli gelişime açık yapıya sahip olan şirketimizde;   Savunma Projeleri kapsamında görevlendirmek üzere‘Yazılım Mühendisi’ çalışma arkadaşları aramaktayız.      NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği veya Elektronik Mühendisliği bölümlerinden mezun,  C, C++ ve benzeri programlama dillerinde deneyimli, Veri yapılarına (Data Structures) hakim, "
"Simülasyon Yazılım Mühendisi"," ","BİTES HAKKINDA   2001 yılında kurulan ve 2019 yılından itibaren ASELSAN iştiraki olan BİTES Savunma ve Havacılık, 150 kişilik uzman kadrosu ile milli ve yüksek teknoloji odaklı bir savunma sanayi şirketi olarak ülkemize hizmet etmektedir.  BİTES, artırılmış gerçeklik, yapay zeka, derin öğrenme, görüntü ve sinyal işleme gibi teknoloji alanlarında yurtiçi ve yurtdışı ar-ge çalışmaları yürütmektedir. BİTES, çalışmalarını Ankara Eskişehir Yolu üzerindeki ODTÜ Bilişim ve İnovasyon Merkezi’nde sürdürmektedir. Ayrıca eğitim ve simülasyon teknolojileri, komuta kontrol ve bilgi sistemleri faaliyet alanında askeri sistemler için çözümler sağlamaktadır.  İnovatif fikirlere değer verilen ve sürekli gelişime açık yapıya sahip olan şirketimizde,  Savunma Sanayine yönelik projelerimizde görevlendirmek üzere aşağıdaki niteliklerde‘Simülasyon Yazılım Mühendisi’çalışma arkadaşı aramaktayız.     NİTELİKLER  Üniversitelerin Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği veya ilgili bölümlerinden mezun, C / C++ / C# Programlama Dillerinde deneyimli, Yazılım Geliştirme Süreçleri ile ilgili bilgi ve deneyim sahibi, Kişi Güvenlik Belgesi almaya engel bir durumu olmayan, İleri düzeyde İngilizce bilen, "
"İş Analizi Kıdemli Uzmanı","İstanbul","   Türkiye’nin dört bir yanına ve dünyanın 227 ülkesine ‘önem’ taşıyan Aras Kargo, 41 yıldır müşterilerine, paydaşlarına ve ülke ekonomisine katma değer sağlamak için çalışıyor. Mutluluğa adanmış gücüyle ve hizmetleriyle fark yaratan Aras Kargo, teknoloji ve güçlü insan kaynağını birleştiren yenilikçi iş modeliyle, sektöründe ilk tercih edilen marka olmak için çalışmalarını sürdürüyor. Kargo sektörünün lideri Aras Kargo bugün, müşteri memnuniyeti odaklı 13 Bölge Müdürlüğü, 29 Transfer Merkezi, 900 şube, 4000'den fazla araç filosu ve 14000 kişilik uzman kadrosuyla; her ay 12 milyon kişi, kurum ve kuruluşa hizmet veriyor.       Sen de bu geniş aileye katılmak istiyorsan, Genel Müdürlük İş Analizi Kıdemli Uzmanı pozisyonunda görev alacak çalışma arkadaşı arıyoruz.    Üniversitelerin Bilgisayar Mühendisliği veya Endüstri Mühendisliği bölümlerinden mezun, İş analizi, iş süreçleri dokümantasyonu, süreç analizi, test ve kabul senaryoları hazırlama ve test etme konularında minimum 5 yıl tecrübeli, Süreç analizi, gereksinim belirleme, analiz dökümantasyonu hazirlama ve test senaryoları hazırlama konularında deneyim sahibi, İyi Derecede İngilizce bilen, SQL hakkında bilgi sahibi, Tercihen önyüz tasarımı, kullanılabilirlik kavramları hakkında bilgi sahibi,     "
"Sistem Destek Şefi","İstanbul","Bilişim sektöründe en az 10 yıl deneyimli, Microsoft server/client ürünleri, Network altyapı, TCP/IP, Sanallaştırma, Mail server, Yedekleme, Arşivleme,Çıktı sistemleri  kurulum ve desteği,Giriş çıkış kontrol sistemleri gibi Teknik konularında tecrübeli Raporlama, İletişim (telefon, data) sistemleri vb çalışma konularında yoğunlaşmış, Analitik düşünebilme, değişim ve gelişime açık olma, muhakeme, Proje geliştirebilme ve uygulayabilme, Stres yönetimi, yoğun tempoda çalışabilme Ekip yönetebilme İyi düzey İngilizce Askerlikle ilişiği bulunmayan (Erkek adaylar için) İstanbul Anadolu yakası veya Gebze ve civarında ikamet eden ve edebilecek olan adaylar.     iş Tanımı :   Gemak Şirketler Grubu bünyesinde, tüm şubelerinde bulunan IT altyapısı dahilinde ;  Gemak Grubun Bilgi Sistemleri server ve altyapılarının 7/24 esaslı çalışmasını sağlamak, "
"Kıdemli Yazılım Geliştirme Uzmanı"," ","Sektör liderleri arasında yer alan şirketimizin gelişen ve büyüyen kadrosunda görevlendirilmek üzere;  ·     Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği veya ilgili diğer bölümlerinden mezun,  ·     Java teknolojilerileri ile uygulama geliştirme tecrübesi olan,  ·     OOP, Solid Principles konularına hakim,  ·     Tercihen web service teknolojilerinde deneyimli (SOAP, REST)  ·     JPA, EJB vb. teknolojileri konusunda bilgi sahibi,  ·     Git / SVN gibi kod versiyonlama araçlarını etkin bir şekilde kullanabilen,   ·     İlişkisel veritabanları konusunda bilgili,  ·     Takım çalışmasına yatkın, etkili iletişim kurabilen,  ·     Kurumsal düzeyde uygulama geliştirmiş,  "
"ERP Geliştirme Uzmanı"," ","      Yetkinlikler ve Nitelikler         Üniversitelerin ilgili bölümlerinden, Bilgisayar Mühendisliği, Yazılım Mühendisliği vb. mezun,         Tercihen ERP kullanımtecrübesine sahip,         Tercihen ERP yazılımı geliştirmiş,         Veritabanı yapılarına, SQL sorgulama diline ve nesneye yönelik programlama prensiplerine hakim,         İyi düzeyde İngilizce ( Okuma, Yazma, Konuşma) bilgisine sahip,         İyi seviyede Excel bilgisi olan,         Analitik düşünme yeteneği gelişmiş,         Planlama ve organizasyon becerisi yüksek,         Ekip çalışmasına yatkın,         İletişim becerileri gelişmiş,         Raporlama becerisi gelişmiş olan.  "
"Kıdemli Yazılım Geliştirme Uzmanı"," "," "
"Zayıf Akım Sistemleri Mühendisi","İstanbul","Danışmanlığını yapmakta olduğumuz zayıf akım sistemlerinde uçtan uca hizmet veren müşterimiz için; sektörün önde gelen çözüm ortaklarıyla yaptığı projelerinde süpervizörlük, test, devreye alma ve mühendislik hizmetlerini sağlayacak tecrübeli Zayıf Akım Sistemleri Mühendisi aramaktayız.     Genel Nitelikler  •Üniversitelerin Elektrik, Elektronik veya Bilgisayar Mühendisliği/Teknikerliği bölümlerinden mezun,  •Zayıf Akım ve Bina Teknolojileri konusunda en az 3 yıl tecrübe sahibi,  •CCTV, Kartlı Geçiş, Yangın Algılama, Acil Anons vb sistemlerde kendi sorumluluğunda proje bitirme tecrübesine sahip,  •MS Office ve Autocad programlarını kullanabilen,  •Tercihen İngilizce bilen,  •Ehliyet sahibi ve aktif araç kullanabilen,  •Raporlama ve iletişim yetenekleri kuvvetli,  "
"Bilgi Teknolojileri Uzmanı","İstanbul","İş Tanımı      Kuruluş altyapı ihtiyaçlarını (ağ, donanım, sistem vb.) analiz eder, standartlarla uyumlu teknoloji ve çözümleri araştırır  Masaüstü ve teknik destek hizmetlerinde dış kaynaklardan sağlanan hizmetlerin performansını takip eder Sistemlerin sürekliliği ve performansına yönelik gerekli çalışmaları planlar, teknik düzenlemeleri yapar ve takip eder Kuruluş bünyesindeki sistemlerin ve uygulamaların yedeklerinin düzenli olarak alınmasını ve testlerinin periyodik olarak yapılmasını sağlar Kuruluşun Bilgi Teknolojileri (donanım ve yazılım ) envanterinin güncel tutulmasını sağlar Sorumluluğu dahilindeki konular için dokümantasyonları gerçekleştirir  Kuruluşla koordineli şekilde çalışıp BT altyapı projelerine destek olur         "
"Full Stack Javascript Developer","İstanbul","  Genç ar-ge ekibimize yazılım geliştirmeyi gerçekten seven ve motivasyonu yüksek takım arkadaşları arıyoruz. En yeni yazılım teknolojilerini kullanarak bir çok ülkede kullanılan nitelikli ürünler ortaya çıkarma fırsatı sizi bekliyor olacak     Aranan Yetenek ve Nitelikler  • Üniversitelerin Bilgisayar Mühendisliği yada ilgili bölümlerden mezun  • Çok iyi derecede Javascript bilgisine sahip  • Node.js platformunda uygulama geliştirmiş, tercihen Express.js, Electron.js, Cordova.js, MongoDB ile çalışmış  • Web teknolojileri ile responsive arayüzler oluşturabilen  • Yazılım geliştirme süreçleri ve dokümantasyonun öneminin farkında olan  • Yukarıda adı geçen teknolojilerin dışında veya yeni gelişen bir yazılım platformu ya da aracı ile çalışması gerektiğinde tedirgin olmak yerine heyecanlanan "
"Siem Danışmanı","Ankara, İstanbul"," "
"Yazılım Mühendisi"," "," "
"SAP ABAP Yazılım Geliştirme Uzmanı","İstanbul","ABAP programlama dilinde en az 3 yıl deneyimli Tercihen SAP Fiori veya Javascript konularında deneyimli Tercihen SAP HANA Development  (CDS, SQL Script, XSJS) konularında deneyimli Analitik düşünebilen ve çözüm odaklı Erkek adaylar için askerlikle ilişiği bulunmayan veya en az 2 yıl tecilli İyi derecede İngilizce bilen    İŞ TANIMI  Koçtaş, Koç Holding ile ev geliştirme perakendeciliği konusunda Avrupa'nın lider kuruluşu olan Kingfisher/B&Q ortaklığıdır. Dünya standartlarında perakendecilik uygulamalarıyla hızlı büyümeyi hedefleyenKoçtaş, Genel Müdürlük Bilgi Teknolojileri ve AR-GE Direktörüğü'ndegörevlendirilmek üzere;   İş birimlerinden gelen talepleri, kodlama standartlarına uygun olarak geliştirme, SAP ile diğer sistemler arasında entegrasyonları geliştirme, Yapılan geliştirmelerin, temel birim testlerini gerçekleştirme ve uygulamaya ait teknik tasarım dokümantasyonu oluşturma, SAP ailesinde bulunan diğer teknolojilerde de gerektiği durumlarda geliştirme yapabilme sorumluluklarını üstlenecek""SAP Abap Yazılım Geliştirme Uzmanı"" aramaktadır.    "
"Kurumsal Uygulama Geliştirme Uzmanı","İstanbul"," "
"Veri Giriş Elemanı","Mersin","GENEL NİTELİKLER    Üniversitelerin Endüstri, Matematik, Bilgisayar Mühendisliği bölümlerinden mezun, MM ve PP, modüllerinde veri girişi ve veri kontrolü yapacak, ERP sisteminin devreye alınma faaliyetinde bulunmuş veya bilgi sahibi, İletişim becerisi yüksek, Tercihen SAP bilen, Mersin'de ikamet eden ya da edebilecek, Analitik düşünen ve sonuç odaklı, Takım çalışmasına yatkın, Erkek adaylar için askerlik görevini tamamlamış   Veri Giriş Elemanı aramaktayız.  İş Tanımı:   ERP  ve SAP sistemlerinin ana verilerinin oluşturulması ve verinin güncel tutulması, ve operasyonel veri girişlerinin yapılması, Ana Veri yapısının yürütülmesi için mevcut iş süreçlerini sürekli geliştirilmek, yeni süreçleri tasarlamak, Mevcut ve yeni kurulacak iştirakler için yapının genişletilmesini sağlamak, "
"Kıdemli Yazılım Geliştirme Uzmanı","İstanbul","* Maaş 5 haneden başlayıp performansa göre yukarı doğru artmaktadır.  * Bilgisayar Mühendisliği bölümlerinden mezun veya kendini ileri düzeyde geliştirmiş ilgili bölümlerden mezun  * Microsoft .Net ve C# platformlarında yazılım geliştirme konusunda en az 5 yıllık profesyonel deneyime sahip  * MS SQL Server veri tabanı yönetim sistemlerinde en az 5 yıl deneyimli  * İnsan ilişkilerinde başarılı  * Ekip çalışmasına yatkın  * Askerlikle ilişkisi olmayan (Erkek adaylar için)  * Nesne tabanlı ve n-katmanlı yazılım geliştirme konusunda uzman  * Zamanını iyi planlayan ve kullanabilen  * Teknolojiyi ve yenilikleri takip eden, öğrenmeye ve gelişmeye açık  "
"Kıdemli Yazılım Geliştirme Uzmanı/Java","İstanbul"," "
"SAP ABAP Yazılımcısı","Ankara","Türkiye'nin önde gelen üniversitelerinin Bilgisayar Mühendisliği bölümünden mezun,   Aşağıda belirtilen alanlarda olmak üzere en az 5 yıl deneyimli;  ABAP kodlama MM- SD- HR- FI- BW- PS- CS modüllerinde tüm uygulama aşamalarında ABAP ile program ve rapor tasarlama Diyalog programlama ile ekran tasarımı Müşteri taleplerinin yönetilmesi Proje dokümantasyonlarının hazırlanması User-exit, Sreen-exit, Menu-exit, Customer-exit, BADI geliştirmeleri Smartforms, Adobe Form ile çıktı tasarımı Web sitesi ve Mobil uygulama projelerinde proje yönetimi ve tüm web mobil uygulama sorumluluğu, Çok katmanlı web uygulama projelerinin anazili,geliştirilmesi,bakımı ve yönetimi OLAB uygulamaları sürdürmek ve yönetmek İyi derecede İngilizce bilen, B sınıfı ehliyeti olan ve aktif olarak araç kullanabilen, Seyahat engeli bulunmayan, Erkek adaylar için askerliğini tamamlamış, İletişim becerisi yüksek ve ekip çalışmasına yatkın çalışma arkadaşı aramaktayız.  "
"IOS Yazılım Uzmanı","İstanbul","Üniversitelerin Bilgisayar Mühendisliği veya benzeri 4 yıllık bölümlerinden mezun,  En az 3 yıl mobil yazılım geliştirme tecrübesi olan,  Swift ve Objective C programlama dillerini çok iyi bilen, MVVM, MVC, Clean Swift hakkında bilgi sahibi, OOP, Web Services, SOAP, REST, JSON, XML konularında bilgi ve tecrübe sahibi, Veritabanı ve SQL konusunda yetkin (MS SQL, Oracle), Güncel 3rd parti geliştirme kütüphaneleri hakkında bilgi sahibi, App Store‘a uygulama yayınlama konusunda tecrübeli, Git ile daha önce çalışmış, İyi derecede İngilizce bilgisine sahip, Erkek adaylar için askerliğini tamamlamış veya en az 2 yıl tecilli.     İŞ TANIMI  Kurumun mobil bankacılık IOS yazılımlarını geliştirmek, "
"Android Yazılım Uzmanı","İstanbul"," "
"Yazılım Geliştirme Uzmanı"," "," "
